"SingleR_labels","n_0","n_scPAS-","n_scPAS+","percent_0","percent_scPAS-","percent_scPAS+"
"CD4-positive helper T cell",632,31,0,95.3242835595777,4.67571644042232,0
"CD4-positive, alpha-beta T cell",2213,40,9,97.8337754199823,1.7683465959328,0.397877984084881
"CD8-positive, alpha-beta memory T cell",452,14,0,96.9957081545064,3.00429184549356,0
"IgA plasma cell",412,0,37,91.7594654788419,0,8.24053452115813
"IgG plasma cell",1279,5,696,64.5959595959596,0.252525252525253,35.1515151515151
"T cell",1662,12,19,98.1689308919079,0.708800945067927,1.12226816302422
"activated CD4-positive, alpha-beta T cell",81,1,2,96.4285714285714,1.19047619047619,2.38095238095238
"activated CD8-positive, alpha-beta T cell",1465,13,0,99.1204330175913,0.87956698240866,0
"alternatively activated macrophage",403,1,78,83.6099585062241,0.20746887966805,16.1825726141079
"basal cell",552,1094,2,33.495145631068,66.3834951456311,0.121359223300971
"capillary endothelial cell",1443,26,13,97.3684210526316,1.75438596491228,0.87719298245614
"class switched memory B cell",858,14,27,95.4393770856507,1.55728587319244,3.00333704115684
"classical monocyte",3322,19,303,91.1635565312843,0.521405049396268,8.31503841931943
"conventional dendritic cell",1757,15,201,89.0522047643183,0.760263558033452,10.1875316776483
"effector memory CD4-positive, alpha-beta T cell",3918,177,1,95.654296875,4.3212890625,0.0244140625
"effector memory CD8-positive, alpha-beta T cell",232,6,1,97.071129707113,2.51046025104602,0.418410041841004
"endothelial cell of artery",1241,75,9,93.6603773584906,5.66037735849057,0.679245283018868
"endothelial cell of lymphatic vessel",186,6,0,96.875,3.125,0
"fibroblast",3262,765,533,71.5350877192982,16.7763157894737,11.6885964912281
"gamma-delta T cell",31,0,0,100,0,0
"inflammatory macrophage",3310,2,1336,71.2134251290878,0.0430292598967298,28.7435456110155
"luminal epithelial cell of mammary gland",29461,1153,1476,91.807416640698,3.5930196322842,4.59956372701776
"lymphocyte",306,9,1,96.8354430379747,2.84810126582278,0.316455696202532
"macrophage",2145,0,2359,47.6243339253996,0,52.3756660746004
"mammary gland epithelial cell",3749,646,50,84.3419572553431,14.533183352081,1.12485939257593
"mast cell",2150,0,24,98.8960441582337,0,1.10395584176633
"mature NK T cell",4064,34,17,98.7606318347509,0.826245443499393,0.413122721749696
"myeloid cell",427,1,244,63.5416666666667,0.148809523809524,36.3095238095238
"myeloid dendritic cell",198,4,2,97.0588235294118,1.96078431372549,0.980392156862745
"naive B cell",462,7,8,96.8553459119497,1.46750524109015,1.67714884696017
"natural killer cell",707,6,0,99.1584852734923,0.841514726507714,0
"neutrophil",1725,7,0,99.5958429561201,0.404157043879908,0
"non-classical monocyte",3135,21,185,93.8341813828195,0.62855432505238,5.53726429212811
"pericyte",478,18,188,69.8830409356725,2.63157894736842,27.4853801169591
"plasmacytoid dendritic cell",673,6,67,90.2144772117963,0.804289544235925,8.98123324396783
"regulatory T cell",2979,32,13,98.5119047619048,1.05820105820106,0.42989417989418
"unswitched memory B cell",325,7,1,97.5975975975976,2.1021021021021,0.3003003003003
"vascular associated smooth muscle cell",2552,65,244,89.1995805662356,2.27193289059769,8.52848654316672
"vein endothelial cell",1583,97,5,93.946587537092,5.7566765578635,0.29673590504451
