"","rank","L1000_id","drug_infor","scores"
"LINCSCP_34",1,"BRAF001_A375_6H:BRD-K09951645-001-02-7:10","Dabrafenib_A375_10uM_6h",1
"LINCSCP_2385",2,"CPC014_A375_6H:BRD-K56343971-001-01-5:10","Vemurafenib_A375_10uM_6h",0.988149207242982
"LINCSCP_69009",3,"LJP005_A375_24H:C13","Vemurafenib_A375_10uM_24h",0.972879763861604
"LINCSCP_53471",4,"CPC006_SKMEL28_6H:BRD-K56343971-001-02-3:10","Vemurafenib_SKMEL28_10uM_6h",0.492775502961207
"LINCSCP_179309",5,"CPC013_A375_6H:BRD-K92723993-066-08-6:10","Imatinib_A375_10uM_6h",0.472637467115796
"LINCSCP_53344",6,"CPC006_SKMEL1_6H:BRD-K56343971-001-02-3:10","Vemurafenib_SKMEL1_10uM_6h",0.34343294285063
"LINCSCP_178870",7,"CPC011_A375_6H:BRD-K92723993-066-13-6:10","Imatinib_A375_10uM_6h",0.324609128147863
"LINCSCP_2554",8,"CPC015_A375_6H:BRD-A55594068-065-03-1:10","Vinblastine_A375_10uM_6h",0.209987973263313
"LINCSCP_26",9,"BRAF001_A375_24H:BRD-U73308409-000-01-9:10","Vemurafenib_A375_10uM_24h",0.100655154128375
"LINCSCP_53",10,"BRAF001_A375_6H:BRD-U73308409-000-01-9:10","Vemurafenib_A375_10uM_6h",0
