"Drug_Name","Drug.therapeutic.score","P.value","FDR"
"mitoxantrone",Inf,1.35910327249524e-31,1.93186822304681e-29
"vorinostat",Inf,4.74785855864593e-83,4.7241192658527e-80
"mebendazole",0.5619996828426,3.84929466520554e-59,1.91502409593976e-56
"ixazomib",0.367489890699345,3.58128207500251e-49,7.12675132925499e-47
"pazopanib",0.302803641831889,1.19720118474347e-54,3.97071726273251e-52
"raloxifene",0.22288371211645,1.23813775817709e-12,5.13311278910917e-11
"crizotinib",0.202937266226227,1.09934674864744e-51,2.73462503726051e-49
"bortezomib",0.18213786168817,1.92701959712553e-30,2.39673062392488e-28
"auranofin",0.17928803218767,2.711173764192e-38,4.49602982561841e-36
"trametinib",0.177536429947699,1.39815017871332e-27,1.5457326975775e-25
"artesunate",0.132573277303043,9.33581877263594e-22,8.44467243524797e-20
"niclosamide",0.117813558983733,6.33586950692716e-13,2.74095224321414e-11
"panobinostat",0.0829456218297431,3.47695731673927e-09,9.3501960274475e-08
"belinostat",0.0760158686035117,1.63095373508368e-06,2.53562338501291e-05
"neratinib",0.0738917251764471,1.00149607265605e-18,8.30407160243973e-17
"dasatinib",0.0729026300062723,5.77112398503731e-12,2.12676606115264e-10
"afatinib",0.0511955756057235,5.72981102160536e-08,1.18774207635361e-06
"olaparib",0.0360200485513294,1.49172188376754e-16,1.14174098026823e-14
"olanzapine",0.0312034136745963,4.74882084460931e-23,4.72507674038627e-21
"fulvestrant",0.0292942283055732,0.000451548415895918,0.00336135789989609
"fostamatinib",0.0269221460638538,0.00251157123732948,0.0151455356432899
"sumatriptan",0.0262805862829272,0.000837344912672181,0.00566774277625048
"triamterene",0.0258181581378819,4.08323977782261e-11,1.26963236841672e-09
"chloroquine",0.0255925811949585,1.50064900158592e-15,9.33216097861244e-14
"palbociclib",0.0241302708140576,9.16916723723605e-06,0.000109919534952408
"ketoprofen",0.0232157792467566,1.99897113426603e-08,4.419947285766e-07
"thioridazine",0.0218471404432636,8.17820144900411e-16,5.8123646012565e-14
"doxepin",0.0215843095331092,1.57418394578623e-12,6.26525210422918e-11
"dienestrol",0.0197105769199369,1.67233818328585e-06,2.5599638344145e-05
"sorafenib",0.0190975888843469,1.30493143510591e-09,3.60668549425105e-08
"tretinoin",0.0188521267973851,9.45833779676628e-16,6.27403073852163e-14
"enalapril",0.0184539660942608,1.37443872971498e-11,4.41150495505292e-10
"oxybuprocaine",0.0181511499294643,8.81178492783467e-14,4.61459263326079e-12
"felodipine",0.0177645225286434,3.08076562535609e-14,1.7029787762385e-12
"alpelisib",0.0154756139953254,9.09082588302063e-08,1.77360230462854e-06
"lapatinib",0.015098513494083,1.18546923651416e-10,3.46924085391644e-09
"oxcarbazepine",0.014327511532266,9.14511931987976e-12,3.03313124109345e-10
"menadione",0.014179095321385,0.000256166816994652,0.00208922936811212
"parthenolide",0.0136986437939735,2.97461845816802e-14,1.7029787762385e-12
"perhexiline",0.0126797654843212,0.0001972626649089,0.00168686476454739
"paclitaxel",0.0124730112080414,2.03630478584118e-06,3.06988373016965e-05
"chlorpromazine",0.0113493673631882,1.92910159924999e-05,0.000204197456516356
"nimesulide",0.011166111026154,8.27806961825534e-12,2.84023423109106e-10
"digoxin",0.0110622193527556,4.93468270998041e-13,2.23182240746841e-11
"toremifene",0.0105525674821739,6.75043242193834e-06,8.61112853824186e-05
"guanfacine",0.00977046354630092,5.17841150933518e-06,6.87002593571801e-05
"metixene",0.00944352287992137,0.000456063634659268,0.00336135789989609
"ambroxol",0.0089111017610916,1.58456818081696e-05,0.000169531756979879
"exemestane",0.00862320384880687,1.31576214295375e-13,6.23420634399516e-12
"fenbufen",0.00855582451053999,0.00346151760325347,0.0201415790364749
"promazine",0.00853152233429221,1.32329958885241e-06,2.15849687034122e-05
"acetylcysteine",0.00852886199693228,0.00162180531855366,0.0102132676706386
"fluphenazine",0.00847120207120542,4.036642951247e-05,0.000401645973649077
"sirolimus",0.00815191334606796,0.00105866301180416,0.00706959528016873
"guaifenesin",0.00768723659258105,3.60575794279617e-06,4.91469746997561e-05
"griseofulvin",0.00735236543260707,4.37379391881483e-06,5.88097966110914e-05
"dipyridamole",0.00668216841378811,0.000298949381814051,0.00239882770084662
"nomifensine",0.0066197260089449,0.006238432304058,0.0330172348007325
"lynestrenol",0.00659414107898663,0.00429262214554639,0.0239952754765093
"amcinonide",0.00659035939008761,0.00216033997987293,0.0131873514108808
"saquinavir",0.00654937323160193,1.15528028566369e-05,0.00013366324235295
"zafirlukast",0.00644198990232276,0.000242821287111667,0.0020133931723009
"nizatidine",0.0062532371276277,4.04411697165199e-09,1.03176830430609e-07
"paroxetine",0.00600495688377731,4.44943926246522e-09,1.10679801653822e-07
"diclofenac",0.00600377975796203,1.68679373104168e-07,3.16671653280467e-06
"pregnenolone",0.00597939152076802,3.13350687925211e-08,6.77791161925185e-07
"verapamil",0.00590126512795632,7.17239250957669e-06,8.84149791993125e-05
"curcumin",0.00578911901436725,2.14126295492335e-07,3.9454752595347e-06
"aztreonam",0.00574481229843253,7.03276240686766e-12,2.49914235529762e-10
"pergolide",0.0057240413769374,0.00139627626350859,0.00908035870713103
"zidovudine",0.00561959820857882,6.69603374110559e-08,1.35970481069389e-06
"safinamide",0.00550402199439104,2.42016872925696e-06,3.54127630236864e-05
"melatonin",0.00549716618148206,0.00426144380403577,0.0239952754765093
"sitagliptin",0.0054697041851426,1.24305227000722e-05,0.00014054966007468
"noscapine",0.00545547519664303,4.31932362139742e-12,1.65297192434248e-10
"flumazenil",0.00533856797715056,0.000417154042550097,0.00316846009417822
"tegaserod",0.00532927118430876,3.97634946423343e-09,1.03176830430609e-07
"apomorphine",0.00532702861854313,3.28336550974716e-08,6.95095464297537e-07
"ouabain",0.00530038693160931,1.06903288571411e-13,5.31843860642771e-12
"memantine",0.00519254303819098,0.000298817291562894,0.00239882770084662
"vinblastine",0.00509041642156888,1.57223368815067e-05,0.000169531756979879
"raltegravir",0.00501725213971427,3.24781931977309e-05,0.00032975308399737
"budesonide",0.00500660290138983,5.76004608975493e-10,1.63749881694462e-08
"dexamethasone",0.00499110286592088,8.23755046984346e-08,1.63927254349885e-06
"meropenem",0.00490142873036806,0.000189037840316714,0.00163558827056635
"medrysone",0.00484048157431046,5.33764702051512e-09,1.29535580132013e-07
"estriol",0.00474358435580648,0.000131103977447577,0.00116471837107446
"aliskiren",0.00473234502365982,4.31087375888265e-05,0.000421764570149621
"flunarizine",0.00465419990963475,1.32113808805944e-06,2.15849687034122e-05
"tamoxifen",0.00462828800205218,0.00521792685036516,0.0282165066093116
"hydrocortisone",0.00458366765905883,0.00134291537495602,0.00879079472421867
"tranylcypromine",0.00457888347401542,1.42897032319367e-08,3.23142152631295e-07
"zaleplon",0.00453359346981848,0.00191671811697588,0.0118455560645404
"nortriptyline",0.00446809246210739,0.00275207803305131,0.0162995097790836
"perindopril",0.00444261117524323,0.00487227648997614,0.0267840613675484
"benzydamine",0.00442489085711174,1.38851782269743e-05,0.000153508359287105
"dihydroergotamine",0.00437988714695224,1.09562975260121e-07,2.09644539199655e-06
"ciprofloxacin",0.00436494674442154,7.00339932189359e-06,8.82073712061282e-05
"flecainide",0.0043346403843677,0.00178652840114223,0.0111798475417391
"pioglitazone",0.00433354238892963,1.13580102419086e-05,0.000132955531655283
"colchicine",0.0043077551573611,0.000408118040881597,0.00312367269751684
"nitazoxanide",0.00426449738512031,5.45477307860794e-06,7.1414463331775e-05
"nitrofural",0.00425379105302502,0.00155107040289963,0.00989304519798163
"dydrogesterone",0.00421916020729255,5.12660345545817e-07,9.18942146249091e-06
"pizotifen",0.00415175154735857,5.17193569748232e-07,9.18942146249091e-06
"procyclidine",0.00414632217364567,7.5711324161035e-05,0.00071745492895457
"vinorelbine",0.00413788472582284,1.20301074816719e-05,0.000137585712003029
"probenecid",0.00413617659338085,0.000813890409871429,0.00554671888919227
"methysergide",0.0041292787560314,2.50225363618704e-05,0.000259348163333969
"tramadol",0.00409924026567514,0.000644756467072862,0.00455330393367745
"guanadrel",0.00408536644213139,4.45657245906063e-05,0.000430513553084013
"naloxone",0.00405875373601886,0.000216964178837882,0.00181411225162767
"lenalidomide",0.00393317781194314,0.00035138751930018,0.00275631859029277
"sildenafil",0.00382112596722081,7.32681000565078e-09,1.73575617991012e-07
"dapsone",0.00379142636215331,7.19760132175308e-06,8.84149791993125e-05
"goserelin",0.00374586759866056,0.0070730720698104,0.0370405616287439
"zimelidine",0.00363977749881609,0.000113225107685875,0.00101494578511212
"pyridoxine",0.00363215169108234,0.0012467161304714,0.00821511622396715
"naltrexone",0.0034812168088832,3.27815716107753e-06,4.59403714827062e-05
"chlorothiazide",0.00343474057707301,1.50429111213514e-06,2.41414460737818e-05
"levocetirizine",0.00339801812859769,0.00358732214286255,0.0207522414659781
"terfenadine",0.00337173746869704,3.35178184439329e-05,0.000336871003552659
"stanozolol",0.00336078483644034,0.00786903637016298,0.0403592329294442
"clindamycin",0.00334260273827011,0.00224838499562294,0.0136411162844196
"ranitidine",0.00333704496246452,1.02532954650334e-06,1.72915745554377e-05
"flucytosine",0.00326689405442978,0.000594447203107443,0.00428605048617323
"mafenide",0.00325365051800383,0.00021283959152659,0.00179470672516066
"pentolinium",0.0032480488712508,0.000105591357189618,0.000963884407373118
"estrone",0.00321095533901778,0.00101459242548125,0.00682107745509357
"rutin",0.00315212716291538,0.000251072654605402,0.00206460571349071
"lofexidine",0.00310524687079724,9.01613794897516e-05,0.000846326156531159
"zuclopenthixol",0.00307817763841413,0.00727276888771992,0.0378869373993787
"progesterone",0.00300062352627685,9.04612224772303e-06,0.000109766971176639
"pivmecillinam",0.00296486615903613,0.000709960232166196,0.00490562799309282
"azacitidine",0.00296415063200667,1.26909909017838e-08,2.9366362668081e-07
"trihexyphenidyl",0.00291550404494946,0.00298279408070712,0.0175614207710271
"alverine",0.00287645292096228,0.00261389851652498,0.0156676447225443
"celecoxib",0.0028624021766397,3.24449248600721e-05,0.00032975308399737
"naproxen",0.00285041336137322,3.56964010093449e-06,4.91469746997561e-05
"digitoxin",0.00283635074595939,2.41913213095321e-06,3.54127630236864e-05
"everolimus",0.00281171768893031,2.03811839017672e-05,0.000213466084023772
"quinapril",0.00280324248646014,7.47414240752918e-07,1.30469678868272e-05
"methocarbamol",0.00277168457944885,1.29137404991668e-05,0.000144372716816528
"prochlorperazine",0.00267508508888072,0.00471613176997088,0.0260697283951168
"vecuronium",0.00266135265160577,1.03343420768096e-05,0.000122412742457447
"cefoxitin",0.00256685401437075,0.00190498866934754,0.0118455560645404
"metergoline",0.0025547835167582,9.7969143924142e-05,0.000902586094486308
"danazol",0.0024972248187722,5.23377994817443e-11,1.57806395407078e-09
"tripelennamine",0.00246518633098051,0.00496261688503396,0.0271307901132351
"alclometasone",0.00244246668972902,0.000145067887709007,0.0012773676838094
"prednisolone",0.00243831716575179,4.32361669902124e-05,0.000421764570149621
"acitretin",0.00242055696355492,0.00149708508631648,0.00967272507068118
"bethanechol",0.00239938770765829,0.00919755595339825,0.0457578408681563
"gliquidone",0.00237125795877961,0.00592379197537176,0.0315196417940904
"triamcinolone",0.00233068890343803,0.00019835495221311,0.00168686476454739
"linezolid",0.00230532184389375,0.00202645492410564,0.0124464361079328
"piretanide",0.00226981929451062,0.00272139623131855,0.0162143068871974
"argatroban",0.00223757717953745,0.00665901179256203,0.0350567022941758
"clobetasol",0.00223730673923243,0.005009335681695,0.0272365519305275
"molindone",0.00219800973700166,0.000545887465517578,0.00396465714007292
"minaprine",0.0021907924679153,0.000388925658342845,0.0029998529461328
"sulfathiazole",0.00218290857657752,0.0084514626469044,0.0429041088452545
"isradipine",0.0021729562217157,0.000809038689677938,0.00554671888919227
"diazepam",0.00217003871102353,0.0074145367272389,0.0384242918937641
"alimemazine",0.00214681472176995,0.000645242064973387,0.00455330393367745
"homatropine",0.00214629284487181,6.31793009560268e-05,0.000604455812031218
"bromocriptine",0.00213632188870158,0.000347573782662039,0.00275631859029277
"estradiol",0.00203644421838061,0.000111913676018144,0.00101231006943685
"isosorbide",0.00196171571027314,8.04580772295706e-07,1.38027218695556e-05
"vincristine",0.00189799892527384,0.000685964680466078,0.00480658350044893
"aprepitant",0.00187143726692629,0.00151606526233495,0.00973216087756953
"sulfamerazine",0.00187092237834903,0.00912948623968375,0.0456474311984187
"cefadroxil",0.00180088764904433,0.00112898157852674,0.00748891113756071
"pimethixene",0.00179717767219631,0.00162027282394106,0.0102132676706386
"dyphylline",0.00179012955240843,0.000168057629793712,0.0014668187863574
"naftifine",0.00173826934140569,0.00908505492557135,0.0456474311984187
"ondansetron",0.00157433916605631,0.00772642785054715,0.0398331384004892
"dihydroergocristine",0.00144223961498571,1.62632291261645e-06,2.53562338501291e-05
