"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FOSB",0,-4.13706296943801,0.153,0.772,0
"TGFBI",0,5.72314871162992,0.647,0.078,0
"CYBA",0,3.63216464440424,0.681,0.122,0
"ATF3",0,-3.79307053628971,0.225,0.781,0
"TYROBP",0,6.02760345178218,0.595,0.042,0
"EGR1",0,-3.40711969383074,0.259,0.806,0
"FCER1G",0,6.32693950353962,0.565,0.026,0
"LAPTM5",0,4.84227001153646,0.576,0.059,0
"CTSB",0,5.02673119333836,0.746,0.23,0
"AIF1",0,6.50174755528029,0.529,0.015,0
"CTSS",0,4.79713627559121,0.553,0.052,0
"SH3BGRL3",0,2.66358435255577,0.706,0.208,0
"GRN",0,3.68882554879242,0.639,0.146,0
"LYZ",0,6.73157816191066,0.512,0.021,0
"FCGR3A",0,7.62747717470227,0.495,0.007,0
"HLA-DRB1",0,4.96034656169933,0.607,0.133,0
"HLA-DPA1",0,5.5308148058501,0.549,0.077,0
"SRGN",0,2.76848132345334,0.589,0.123,0
"HLA-DRA",0,5.22981383251709,0.631,0.174,0
"CCN1",0,-3.06193213554255,0.087,0.541,0
"SFRP1",0,-7.36571562120439,0.008,0.459,0
"ITGB2",0,4.84912986039333,0.478,0.03,0
"CTSC",0,4.27846684420401,0.503,0.058,0
"CTSZ",0,3.61638893242474,0.57,0.129,0
"BTG2",0,-2.84425040777287,0.194,0.633,0
"PPP1R15A",0,-2.22661033282832,0.262,0.696,0
"HLA-DPB1",0,4.89920607421294,0.53,0.097,0
"ZFP36",0,-3.20619249558198,0.44,0.865,0
"C1QC",0,7.34941686777961,0.44,0.016,0
"MS4A6A",0,6.76779960640497,0.434,0.011,0
"CLU",0,-1.10219660437404,0.199,0.62,0
"CD14",0,4.13605848647253,0.514,0.096,0
"JUNB",0,-3.03382491612862,0.468,0.886,0
"FCGRT",0,2.81078327615041,0.587,0.169,0
"NR4A1",0,-3.39969692077566,0.117,0.534,0
"HLA-DQB1",0,4.96454259006202,0.461,0.051,0
"RPL3",0,-2.14230228759661,0.307,0.717,0
"ARHGDIB",0,2.2229024730201,0.547,0.138,0
"MYC",0,-4.01678883055343,0.062,0.471,0
