"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019882","antigen processing and presentation","40/926","120/18860",0.333333333333333,6.78905687544996,14.4557253071243,5.17209059360215e-23,2.70293454421649e-19,1.90550706080079e-19,"FCER1G/CTSS/HLA-DRB1/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DQB1/CTSL/CTSH/TREM2/HLA-DMB/HLA-DQA1/HLA-C/HLA-DRB5/CD74/FCGR1A/LGMN/HLA-A/HLA-B/B2M/CD68/FGL2/SLC11A1/MARCHF1/FCGR2B/PYCARD/PDIA3/CALR/MPEG1/UNC93B1/LILRB2/HLA-DOA/HLA-E/HLA-DQA2/RAB32/WAS/HLA-F/PSMB8/RAB10/ARL8B",40
"GO:0048002","antigen processing and presentation of peptide antigen","31/926","72/18860",0.430555555555556,8.76919846412287,15.0081937962816,5.26550966925885e-22,1.37587767657734e-18,9.69962307495052e-19,"FCER1G/CTSS/HLA-DRB1/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DQB1/CTSL/TREM2/HLA-DMB/HLA-DQA1/HLA-C/HLA-DRB5/CD74/FCGR1A/LGMN/HLA-A/HLA-B/B2M/SLC11A1/MARCHF1/FCGR2B/PYCARD/PDIA3/CALR/MPEG1/UNC93B1/HLA-DOA/HLA-E/HLA-DQA2/HLA-F",31
"GO:0006909","phagocytosis","54/926","251/18860",0.215139442231076,4.38178172837806,12.2559549807295,1.62815237610535e-20,2.41092513139246e-17,1.69964710050428e-17,"CYBA/TYROBP/FCER1G/AIF1/ITGB2/CD14/TREM2/MSR1/FCGR1A/PTPRC/HCK/SLC11A1/LRP1/LYN/CLEC7A/FCGR2B/NCF2/RAB31/MERTK/CD300A/PYCARD/MARCO/CALR/SYK/PECAM1/NCKAP1L/CD36/ABCA1/NCF4/RAC1/SIRPA/TLR2/TGFB1/IRF8/CORO1A/BIN2/SNX3/DOCK2/CDC42/CORO1C/COLEC12/LMAN2/CSK/ATG3/CD302/RAP1A/ARAP1/C3/PAK1/CD47/MESD/ARL8B/ITGAV/ITGB1",54
"GO:1902600","proton transmembrane transport","47/926","192/18860",0.244791666666667,4.98571364290857,12.6134547155724,1.84533113769036e-20,2.41092513139246e-17,1.69964710050428e-17,"ATP6V0B/ATP6V1F/ATP5F1E/ATP6V0E1/SLC11A1/UQCR10/NDUFB2/UCP2/ATP6AP2/SLC15A3/ATP5MC3/ATP6V0D1/COX7B/ATP6V1B2/ATP5PD/ATP6AP1/COX6B1/NDUFA3/LAMP2/COX5B/SLC25A5/COX5A/LAMP1/NDUFA6/NDUFB3/ATP5PB/NDUFA1/NDUFB1/PPIF/ATP5PF/COX7A2/NDUFA2/ATP5F1C/NDUFS6/ATP5ME/COX17/ATP5MC1/CYC1/UQCRC1/GHITM/NDUFS8/NDUFS7/ATP6V1A/ATP6V1D/ATP6V1E1/NDUFA12/NDUFB5",47
"GO:0002697","regulation of immune effector process","71/926","421/18860",0.168646080760095,3.43484350230604,11.4807341153939,3.71874841875714e-20,3.88683584728496e-17,2.74013041382105e-17,"TYROBP/FCER1G/LAPTM5/GRN/HLA-DRB1/HLA-DRA/ITGB2/SPI1/TREM2/HLA-DMB/HLA-C/CD74/FCGR1A/LGALS1/VSIG4/CD86/ACP5/LILRB4/S100A9/HLA-A/HLA-B/B2M/CD84/FGL2/PTPRC/LGALS9/GRB2/VAMP8/LYN/IL18/CLEC7A/ARRB2/FCGR2B/IL4I1/HAVCR2/CD300A/PYCARD/CD37/CD81/SYK/SLAMF8/NCKAP1L/CD36/TMBIM6/IL1B/HLA-E/LILRB1/SCIMP/GPR65/WAS/A2M/TGFB1/TNFRSF1B/BST2/LAMP1/PTPN6/LGALS3/STX7/HLA-F/STXBP2/CD40/C3/RAC2/TNF/IL7R/INPP5D/LITAF/IL13RA1/DDRGK1/STX4/UBE2J1",71
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","23/926","41/18860",0.560975609756098,11.4254859611231,15.1850492886091,5.2342833972174e-20,4.34699825421886e-17,3.06453439075191e-17,"FCER1G/CTSS/HLA-DRB1/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DQB1/CTSL/HLA-DMB/HLA-DQA1/HLA-DRB5/CD74/FCGR1A/LGMN/HLA-A/B2M/FCGR2B/MPEG1/UNC93B1/HLA-DOA/HLA-E/HLA-DQA2/HLA-F",23
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","22/926","37/18860",0.594594594594595,12.1102095616135,15.3710994529298,5.82261534242863e-20,4.34699825421886e-17,3.06453439075191e-17,"FCER1G/CTSS/HLA-DRB1/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DQB1/CTSL/TREM2/HLA-DMB/HLA-DQA1/HLA-DRB5/CD74/LGMN/B2M/MARCHF1/FCGR2B/PYCARD/UNC93B1/HLA-DOA/HLA-DQA2/ARL8B",22
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","67/926","385/18860",0.174025974025974,3.54441670640375,11.4617945762159,7.87241603778012e-20,5.14265577667987e-17,3.62545475424085e-17,"CYBA/TYROBP/FCER1G/LAPTM5/FCGR3A/HLA-DRB1/HLA-DPB1/CD14/HLA-DQB1/TREM2/CD53/FCGR1A/MNDA/C5AR1/LILRB4/C3AR1/HLA-A/FPR3/FPR1/PTPRC/HCK/LY96/GRB2/FYB1/LIPA/LYN/CLEC7A/FCGR2B/CD300A/CD81/SYK/CMTM3/PIK3AP1/NCKAP1L/THEMIS2/IGHG4/LILRB2/LAT2/LILRB1/SCIMP/MEF2C/TLR1/TLR2/LCP2/NINJ1/IGHG3/BAX/IGHG1/OAS1/BLVRA/CSK/LPXN/PTPN6/THY1/RAP1A/LGALS3/IGHM/IFI35/CD40/C3/SPG21/INPP5D/PAK1/CD47/NMI/GBP1/IGHA1",67
"GO:0045333","cellular respiration","62/926","336/18860",0.18452380952381,3.75822791319552,11.5920072110348,9.36104909644411e-20,5.2621435405853e-17,3.70969089613643e-17,"ATP5F1E/GAPDH/PGK1/LIPA/UQCR10/NDUFB2/RHOA/PKM/UCP2/MACROH2A1/ENO1/TPI1/COX7B/ATP5PD/HK3/COX6B1/NDUFA3/IDH1/COX5B/BID/COX5A/NDUFA6/NDUFB3/ATP5PB/UQCRQ/ADPGK/NDUFA1/OAS1/NDUFB1/IFNAR1/PPIF/ATP5PF/MTCH2/COX7A2/FBP1/NDUFAB1/NDUFA2/DNAJC15/ATP5F1C/PARK7/NDUFS6/LDHA/BCKDK/UQCC2/ATP5ME/CYC1/ANTKMT/HIF1A/UQCRC1/GHITM/IDH2/TNF/NDUFS8/PRELID1/NDUFB11/NDUFS7/PFKL/NDUFA12/NDUFB5/MTLN/ETFB/CAT",62
"GO:0050900","leukocyte migration","68/926","397/18860",0.171284634760705,3.48858338184331,11.3873470328193,1.00691610037989e-19,5.2621435405853e-17,3.70969089613643e-17,"FCER1G/AIF1/ITGB2/SPI1/TREM2/CD74/HMOX1/LGMN/CSF1R/C5AR1/S100A9/C3AR1/PPIB/CCL3/CXCL16/HCK/MPP1/LGALS9/S100A8/LYN/RHOA/P4HB/PLA2G7/GPR183/CD300A/PYCARD/CALR/CD81/CXCL8/SYK/SLAMF8/ALOX5/PECAM1/NCKAP1L/CCR1/GPSM3/IL1B/RAC1/TREM1/SIRPA/CCL4/SELPLG/TGFB1/CXCR4/ADAM8/MMP14/NINJ1/PPIA/CORO1A/MSN/ITGA4/P2RX4/CDC42/CORO1C/CD99/ECM1/THY1/LGALS3/CXCL3/PREX1/BSG/C3/RAC2/TNF/CD47/DOCK8/WDR1/ITGB1",68
