"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","61/617","155/9377",0.393548387096774,5.98104250535892,16.5948322312735,1.32282998588963e-32,4.32565405385908e-30,3.03554670446251e-30,"1535/1520/2214/3123/3113/3122/3689/3115/929/3119/1514/4481/3109/533/3117/3107/3127/9296/2209/4973/3105/3106/8992/4360/60/64581/2213/4688/10376/8685/811/948/4689/9114/821/3111/526/5879/3133/3118/537/10952/7097/84790/4074/3920/23480/203068/11151/3916/81035/8417/3134/718/29927/523/51382/529/3685/3688/9902",61
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","64/617","250/9377",0.256,3.89061912479741,12.2940840826148,4.00603987697503e-22,6.54987519885417e-20,4.59640364831872e-20,"7805/1508/1520/1075/1522/1514/1512/533/9296/5476/10577/5641/5660/54/967/1175/968/427/8992/6556/8673/3074/3988/5538/1777/4668/2760/51296/28956/2548/9114/8905/526/537/162/55004/23659/2720/4074/2517/3920/2799/950/2519/23312/3916/1173/389541/51699/1213/4126/84572/1211/2990/282991/9516/523/51382/529/55207/55737/79158/127829/3482",64
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","65/617","275/9377",0.236363636363636,3.59219095329306,11.5788186029449,1.93667265575073e-20,2.1109731947683e-18,1.48138469808302e-18,"1535/714/712/713/514/5688/29796/4708/4688/10376/518/4689/3553/1349/5879/10476/5691/1340/4696/84790/5694/1329/292/203068/581/9377/4700/4709/515/27089/4694/5689/4707/10105/522/5713/1347/4706/4695/5690/509/4726/5685/7416/516/1537/7384/5880/5686/5714/7124/3309/4728/54539/5701/374291/5704/5707/10213/5684/55967/4711/5702/5708/5709",65
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","60/617","268/9377",0.223880597014925,3.4024770797552,10.5898699642615,1.05307189165374e-17,8.6088627142693e-16,6.04130716790828e-16,"2771/514/5688/29796/4708/10376/518/1349/10476/5691/1340/4696/84790/5694/808/1329/292/203068/581/9377/4700/4709/515/9246/27089/4694/5689/4707/10105/522/5713/1347/4706/4695/5690/509/11315/4726/5685/7416/516/1537/7384/5686/5714/3309/4728/54539/5701/374291/5704/5707/10213/5684/55967/4711/5702/5708/5709/51465",60
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","41/617","138/9377",0.297101449275362,4.5152678927959,11.0404001776137,5.03633277810774e-17,3.29376163688246e-15,2.31141167500523e-15,"533/9296/514/8992/29796/4708/518/9114/1349/526/10476/537/1340/4696/1329/9377/4700/4709/515/27089/4694/4707/522/1347/4706/4695/509/4726/521/10063/516/1537/7384/4728/54539/374291/523/51382/529/55967/4711",41
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","33/617","95/9377",0.347368421052632,5.27921180585174,11.12510534164,3.44838546001689e-16,1.8793700757092e-14,1.31885619348014e-14,"3123/3113/3122/3689/3115/3119/1514/3109/533/3117/3127/9296/942/54/6348/8992/3606/10673/3576/9114/3553/414062/3111/526/3118/537/7097/7040/2921/7124/523/51382/529",33
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","45/617","181/9377",0.248618784530387,3.77844139796019,10.0170623181789,2.51747239586679e-15,1.09749069905942e-13,7.70168911620648e-14,"2207/1520/2214/3123/3113/3122/3689/3115/929/3119/3109/533/3117/3127/972/2209/4360/387/3606/64581/2213/6850/4046/6772/9114/3553/3111/3459/3118/537/7096/7097/3460/7040/3920/808/637/11151/581/3916/3587/7132/718/7124/9902",45
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","61/617","308/9377",0.198051948051948,3.0099402218527,9.5187106805473,2.68499253592519e-15,1.09749069905942e-13,7.70168911620648e-14,"514/5688/1175/29796/4708/10376/518/1349/10476/5691/1340/4696/84790/5694/6507/1329/292/203068/581/9377/1173/4700/4709/515/1213/27089/4694/5689/4707/10105/522/5713/1347/1211/4706/4695/5690/509/4726/5685/7416/516/1537/7384/5434/5686/5714/4728/54539/5701/374291/5436/5704/5707/10213/5684/55967/4711/5702/5708/5709",61
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","48/617","205/9377",0.234146341463415,3.55849310194885,9.82943343916684,3.60605983283111e-15,1.31020173926197e-13,9.19439817025943e-14,"1535/514/2597/29796/4708/4688/518/948/4689/1349/5879/10476/1340/4696/7040/4318/1329/292/9377/4700/4709/515/27089/4694/4707/10105/522/1347/4706/7046/4695/5499/509/4726/1281/7416/516/1537/1277/7384/5880/4728/54539/374291/142/55967/4711/1278",48
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","43/617","174/9377",0.247126436781609,3.75576109838112,9.73757479494144,1.35344610745181e-14,4.42576877136744e-13,3.10580264657364e-13,"7184/6748/6185/5034/2923/811/10130/821/58505/6745/10952/10134/9978/23480/9601/581/6747/6184/23471/6238/1603/746/55741/10960/10956/6746/6396/55829/5611/30001/29927/3309/9709/10961/51009/6400/27248/7353/10483/56681/1650/64374/51465",43
